               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13247,             0.03199,             0.06011,                   0,                   0,                   0,                   0,             0.13494,            0.026592,            0.061395,              0.0964,              0.0004,              0.0004
                   1,             0.12986,            0.032659,            0.057427,                   0,                   0,                   0,                   0,             0.12813,            0.029289,            0.058832,            0.091897,          0.00089722,          0.00089722
                   2,             0.12153,             0.03435,            0.055524,           0.0012577,               0.075,          0.00083902,          0.00026521,             0.11418,            0.036163,            0.055847,            0.087391,           0.0013913,           0.0013913
                   3,             0.11505,            0.039386,            0.052209,           0.0022687,                0.15,           0.0023193,          0.00088841,             0.10694,            0.039207,            0.053906,            0.082882,           0.0018824,           0.0018824
                   4,             0.10574,            0.041066,             0.05102,           0.0033538,                0.35,            0.032377,            0.006092,             0.10174,            0.038826,            0.052258,             0.07837,           0.0023703,           0.0023703
                   5,             0.10259,            0.037794,            0.051341,           0.0056039,                0.65,            0.044363,            0.012816,            0.095562,            0.038673,            0.051297,            0.073855,           0.0028551,           0.0028551
                   6,            0.094764,             0.03757,            0.051015,             0.61611,               0.025,            0.055279,            0.019827,            0.093646,            0.036884,            0.049933,            0.069337,           0.0033369,           0.0033369
                   7,            0.093574,            0.035469,            0.048931,             0.64149,               0.075,            0.095557,            0.030636,            0.087874,            0.036064,            0.049173,            0.064816,           0.0038155,           0.0038155
                   8,             0.08438,            0.037068,            0.049414,             0.44203,             0.22984,             0.12018,            0.047729,            0.077919,            0.032391,            0.048907,            0.060291,           0.0042911,           0.0042911
                   9,            0.082258,            0.033992,            0.047639,             0.70815,               0.075,             0.11852,            0.025785,            0.088965,            0.026466,            0.049164,            0.055764,           0.0047636,           0.0047636
                  10,            0.083346,            0.032408,            0.045505,            0.029191,                0.35,            0.089678,            0.033171,            0.088116,            0.025127,            0.048761,            0.051233,           0.0052329,           0.0052329
                  11,            0.082261,             0.02968,            0.046224,             0.44351,                0.15,            0.080891,            0.026286,            0.090604,            0.023636,            0.048743,            0.046699,           0.0056992,           0.0056992
                  12,            0.084305,            0.029216,            0.045906,             0.45551,                 0.4,            0.091221,            0.024972,            0.080363,            0.025879,            0.048505,            0.042162,           0.0061624,           0.0061624
                  13,            0.083206,            0.026436,            0.044839,             0.68482,               0.175,             0.16637,            0.065509,            0.083165,            0.024422,            0.048312,            0.037622,           0.0066225,           0.0066225
                  14,            0.086094,            0.026311,            0.046269,            0.053307,                 0.5,             0.11015,            0.038218,            0.084415,            0.023544,            0.047269,            0.033079,           0.0070795,           0.0070795
                  15,            0.080046,              0.0286,              0.0445,             0.44815,               0.525,             0.17189,            0.042512,            0.077295,            0.024063,            0.046838,            0.028533,           0.0075334,           0.0075334
                  16,            0.071764,            0.027324,            0.045431,            0.082827,                0.75,             0.23926,             0.10252,            0.081713,            0.022884,              0.0465,            0.023984,           0.0079842,           0.0079842
                  17,            0.078089,            0.025527,            0.044804,             0.11616,               0.575,             0.20366,            0.069555,            0.081181,            0.022911,            0.046371,            0.019432,           0.0084319,           0.0084319
                  18,            0.074038,            0.027508,            0.045182,              0.4912,                0.35,             0.16888,            0.067262,            0.082418,            0.022137,            0.046033,            0.014877,           0.0088765,           0.0088765
                  19,            0.072165,            0.027528,            0.044698,             0.46783,                0.35,             0.16177,            0.043676,            0.099499,            0.021042,            0.046161,            0.010318,           0.0093181,           0.0093181
                  20,            0.086611,             0.02291,            0.043902,             0.58864,             0.40254,             0.45265,             0.17064,            0.068606,            0.022156,            0.045877,           0.0093813,           0.0093813,           0.0093813
                  21,            0.073615,            0.022851,            0.045605,             0.48111,             0.40018,             0.16209,            0.075506,             0.08718,            0.022991,             0.04595,           0.0093813,           0.0093813,           0.0093813
                  22,            0.074024,            0.022496,            0.044862,             0.50008,                0.45,             0.33454,             0.12652,            0.070681,            0.022881,            0.045868,           0.0093503,           0.0093503,           0.0093503
                  23,            0.059512,            0.026787,            0.043803,             0.47444,              0.2777,             0.11346,            0.054481,            0.084099,            0.019817,            0.045703,           0.0093194,           0.0093194,           0.0093194
                  24,             0.07544,             0.02371,            0.044252,            0.089719,               0.675,             0.31155,              0.1069,              0.0702,            0.021111,            0.045877,           0.0092884,           0.0092884,           0.0092884
                  25,            0.069987,            0.022055,            0.043891,             0.41956,             0.58114,             0.21616,            0.054803,            0.082914,            0.022194,            0.045456,           0.0092575,           0.0092575,           0.0092575
                  26,            0.065705,            0.021861,            0.044752,             0.47573,             0.68763,             0.42008,             0.16448,            0.064762,             0.02084,            0.045401,           0.0092266,           0.0092266,           0.0092266
                  27,            0.053387,            0.021435,            0.044187,             0.50093,             0.55576,             0.41168,              0.1389,            0.071419,            0.025204,            0.045383,           0.0091956,           0.0091956,           0.0091956
                  28,            0.065829,            0.023768,            0.043942,             0.49472,             0.51388,             0.43004,             0.21268,            0.067444,            0.021988,            0.045438,           0.0091647,           0.0091647,           0.0091647
                  29,            0.063745,            0.021368,            0.043316,             0.33232,             0.58619,             0.30434,             0.14635,            0.060679,            0.020355,            0.044751,           0.0091337,           0.0091337,           0.0091337
                  30,            0.060739,             0.02091,            0.045609,             0.50169,             0.53922,             0.49369,             0.17592,            0.058609,            0.019665,            0.045026,           0.0091028,           0.0091028,           0.0091028
                  31,            0.047577,            0.022202,             0.04405,             0.46124,                 0.7,             0.41748,             0.14336,            0.075398,            0.022568,            0.045099,           0.0090719,           0.0090719,           0.0090719
